ISSN,Journal_Name,Publisher,JIF,Quartile
0799-0537,Small Axe,DUKE UNIV PRESS,0.5,
0800-0395,POLAR RESEARCH,OPEN ACADEMIA AB,1.3,Q3
0802-6106,International Journal of Applied Linguistics,WILEY,1.7,Q1
0803-0685,Islamic Africa,BRILL,0.3,
0803-5253,ACTA PAEDIATRICA,WILEY,2.1,Q2
0803-7051,BLOOD PRESSURE,TAYLOR & FRANCIS LTD,2.3,Q2
0803-706X,International Forum of Psychoanalysis,ROUTLEDGE JOURNALS,0.4,Q2
0803-8740,NORA-Nordic Journal of Feminist and Gender R,TAYLOR & FRANCIS LTD,1.3,Q3
0803-9410,FORUM FOR DEVELOPMENT STUDIES,ROUTLEDGE JOURNALS,1.1,Q3
0803-9488,NORDIC JOURNAL OF PSYCHIATRY,TAYLOR & FRANCIS LTD,1.5,Q3
0804-4643,EUROPEAN JOURNAL OF ENDOCRINOLOGY,OXFORD UNIV PRESS,5.2,Q1
0809-6724,Nordic Journal of Digital Literacy,UNIVERSITETSFORLAGE,1.6,Q2
0809-7291,Nordic Journal of Religion and Society,SCANDINAVIAN UNIV P,0.3,
0809-8131,Nordic Journal of Music Therapy,GRIEG ACADEMY,1.2,Q3
0810-2686,Australian Journalism Review,INTELLECT LTD,0.9,Q3
0810-4123,Australasian Drama Studies,AUSTRALASIAN ASSOC,0.2,
0810-5391,Accounting and Finance,WILEY,2.6,Q2
0811-1146,Urban Policy and Research,ROUTLEDGE JOURNALS,1.7,Q2
0813-0426,Rock Art Research,ARCHAEOLOGICAL PUB,0.4,
0813-0531,Australian Journal of Advanced Nursing,AUSTRALIAN NURSING,1.3,Q3
0813-300X,Environmental and Planning Law Journal,LAWBOOK CO LTD,0.2,Q3
0814-0626,Australian Journal of Environmental Education,CAMBRIDGE UNIV PRES,2.7,Q1
0814-5857,Musicology Australia,ROUTLEDGE JOURNALS,0.4,
0814-6039,Acoustics Australia,SPRINGER SINGAPORE,1.8,Q3
0814-723X,Australian and New Zealand Journal of Family T,WILEY,0.6,Q4
0815-9319,JOURNAL OF GASTROENTEROLOGY AND HEPA,WILEY,3.4,Q2
0816-4622,Clinical and Experimental Optometry,TAYLOR & FRANCIS LTD,1.5,Q3
0816-4649,AUSTRALIAN FEMINIST STUDIES,ROUTLEDGE JOURNALS,1.5,Q2
0818-9641,IMMUNOLOGY AND CELL BIOLOGY,WILEY,3,Q3
0819-8691,History of Education Review,EMERALD GROUP PUBL,0.5,Q3
0820-0300,Northern Review,YUKON COLL,0.6,Q2
0820-3946,CANADIAN MEDICAL ASSOCIATION JOURNAL,CMA-CANADIAN MEDIC,11.3,Q1
0823-2105,Canadian Journal of Health History,UNIV TORONTO PRESS,0.4,Q3
0823-9150,CONTEMPORARY ACCOUNTING RESEARCH,WILEY,3.8,Q1
0824-0469,MARINE MAMMAL SCIENCE,WILEY,1.9,Q1
0824-2577,Informal Logic,"UNIV WINDSOR, DEPT",1,
0824-7935,COMPUTATIONAL INTELLIGENCE,WILEY,1.7,Q3
0825-8597,JOURNAL OF PALLIATIVE CARE,SAGE PUBLICATIONS IN,1.7,Q3
0826-3663,Canadian Journal American and Caribbean Stud,ROUTLEDGE JOURNALS,0.5,
0826-435X,TESL Canada Journal,TESL CANADA,1.2,Q2
0826-8185,INTERNATIONAL JOURNAL OF ROBOTICS & AU,ACTA PRESS,1,Q4
0826-9831,Toronto Journal of Theology,UNIV TORONTO PRESS,0.2,
0827-3383,International Journal of Special Education,Sped Sp Zoo,0.9,Q4
0828-282X,CANADIAN JOURNAL OF CARDIOLOGY,ELSEVIER SCIENCE INC,5.3,Q1
0829-2922,Religious Studies and Theology,EQUINOX PUBLISHING,0.1,
0829-318X,TREE PHYSIOLOGY,OXFORD UNIV PRESS,3.7,Q1
0829-5735,Canadian Journal of School Psychology,SAGE PUBLICATIONS IN,1.8,Q3
0829-8211,Biochemistry and Cell Biology,CANADIAN SCIENCE PU,2.1,Q4
0831-2796,GENOME,CANADIAN SCIENCE PU,1.7,Q3
0832-610X,Canadian Journal of Anesthesia-Journal canadi,SPRINGER,3.3,Q1
0832-6193,Trumpeter-Journal of Ecosophy,ATHABASCA UNIV PRES,0.1,Q4
0832-7823,JOURNAL OF MICROWAVE POWER AND ELECT,TAYLOR & FRANCIS INC,1.5,Q3
0832-8781,Canadian Journal of Women and the Law,UNIV TORONTO PRESS,0.2,Q3
0833-2207,University of Toronto Medical Journal,"UNIV TORONTO, MEDI",0.4,Q3
0834-1516,Canadian Journal of Program Evaluation,UNIV TORONTO PRESS,0.4,Q3
0835-1813,RESEARCH ON LANGUAGE AND SOCIAL INTERA,ROUTLEDGE JOURNALS,2.1,Q1
0835-4944,Canadian Journal for the Study of Adult Educat,UNIV CALGARY PRESS,0.2,Q4
0836-1398,PHYSICS ESSAYS,PHYSICS ESSAYS PUBLIC,0.5,Q4
0840-6286,Eighteenth-Century Fiction,UNIV TORONTO PRESS,0.2,
0840-6529,Health Reports,STATISTICS CANADA,3.3,Q1
0843-5057,Historical Studies in Education-Canada,CANADIAN HISTORY ED,1.3,Q2
0843-5561,ATLANTIC GEOLOGY,ATLANTIC GEOSCIENCE,0.9,Q3
0843-8714,International Journal of Maritime History,SAGE PUBLICATIONS LT,0.3,Q2
0845-4450,Public-Art Culture Ideas,INTELLECT LTD,0.2,
0846-5371,CANADIAN ASSOCIATION OF RADIOLOGISTS JO,SAGE PUBLICATIONS IN,3.7,Q1
0847-5911,Canadian Journal of Film Studies-Revue Canadi,UNIV TORONTO PRESS,0.2,
0848-1512,Victorian Review-An Interdisciplinary Journal o,JOHNS HOPKINS UNIV,0.1,
0849-1089,Education et Francophonie,ASSOC CANADIENNE ED,0.2,Q4
0853-1773,Medical Journal of Indonesia,"UNIV INDONESIA, FAC",0.3,Q4
0853-7380,Jurnal Ilmu Ternak dan Veteriner,PUSAT PENELITIAN DA,0.2,Q4
0854-1418,Eksplorium-Buletin Pusat Teknologi Bahan Gali,PUSAT TEKNOLOGI BAH,0.1,Q4
0855-4730,GHANA SOCIAL SCIENCE JOURNAL,UNIV GHANA,0.4,Q3
0857-1074,Journal of the ASEAN Federation of Endocrine,ASEAN FEDERATION EN,1.2,Q4
0857-6149,Journal of Metals Materials and Minerals,CHULALONGKORN UNI,1.5,Q4
0858-849X,Suranaree Journal of Science and Technology,SURANAREE UNIV TECH,0.2,Q4
0860-021X,BIOLOGY OF SPORT,TERMEDIA PUBLISHING,5,Q1
0860-2107,Annales Mathematicae Silesianae,SCIENDO,0.4,Q4
0860-4037,ANIMAL SCIENCE PAPERS AND REPORTS,"Polish Acad Sciences, In",1.1,Q3
0860-7001,Archives of Mining Sciences,"POLSKA AKAD NAUK, P",1.1,Q3
0860-8229,Metrology and Measurement Systems,"POLSKA AKAD NAUK, P",1.1,Q4
0860-9411,Vox Patrum,JOHN PAUL II CATHOLI,0.2,Q2
0861-3710,Istoriya-History,NATSIONALNO IZDATEL,0.1,Q3
0861-3982,Pedagogika-Pedagogy,NATSIONALNO IZDATEL,0.2,Q4
0861-6302,Filosofiya-Philosophy,NATSIONALNO IZDATEL,0.1,
0861-6663,Journal of Theoretical and Applied Mechanics-,BULGARIAN ACAD SCIE,0.3,Q4
0862-7959,Mathematica Bohemica,"INST MATHEMATICS, A",0.4,Q4
0862-8408,PHYSIOLOGICAL RESEARCH,ACAD SCIENCES CZECH,2,Q3
0862-8432,Linguistica Pragensia,CHARLES UNIV PRAGUE,0.2,
0862-867X,HORTICULTURAL SCIENCE,CZECH ACADEMY AGRI,1.3,Q3
0863-1042,CONTRIBUTIONS TO PLASMA PHYSICS,WILEY-V C H VERLAG G,1.5,Q3
0863-1808,BERLINER JOURNAL FUR SOZIOLOGIE,VS VERLAG SOZIALWISS,1.3,Q3
0865-4824,Symmetry-Culture and Science,SYMMETRION,0.2,Q4
0866-7144,Vietnam Journal of Chemistry,WILEY,1.4,Q3
0866-7187,Vietnam Journal of Earth Sciences,Publishing House Scien,2.5,Q2
0867-0005,Gospodarka Narodowa-The Polish Journal of E,SZKOLA GLOWNA HAN,0.2,Q4
0867-0633,Teksty Drugie,POLISH ACAD SCIENCES,0.1,
0867-1761,Folia Horticulturae,SCIENDO,1.8,Q2
0867-4361,Alkoholizm i Narkomania-Alcoholism and Drug,INST PSYCHIATRY & NE,0.3,Q4
0867-5910,JOURNAL OF PHYSIOLOGY AND PHARMACOLO,POLISH PHYSIOLOGICA,1.7,Q4
0867-6356,Foundations of Computing and Decision Scienc,SCIENDO,1.3,Q4
0867-8286,Zagadnienia Filozoficzne w Nauce-Philosophica,COPERNICUS CENTER P,0.1,Q4
0867-8871,Nafta-Gaz,INST OIL & GAS,0.3,Q4
0867-888X,Engineering Transactions,IPPT PAN,1,Q4
0868-4952,INFORMATICA,INST MATHEMATICS &,2.8,Q1
0868-7692,Logos-Vilnius,LOGOS,0.1,
0869-5377,Logos,GAIDAR INST ECONOM,<0.1,
0869-5687,Rossiiskaya Istoriya,ROSSIISKAYA AKAD NA,0.3,Q2
0869-5911,PETROLOGY,PLEIADES PUBLISHING I,1.1,Q3
0869-5938,STRATIGRAPHY AND GEOLOGICAL CORRELATIO,PLEIADES PUBLISHING I,1,Q3
0869-6063,Rossiiskaya Arkheologiya,IZDATELSTVO NAUKA,0.2,
0869-6365,Novoe Literaturnoe Obozrenie,NOVOE LITERATURNOE,0.2,
0869-6632,Izvestiya Vysshikh Uchebnykh Zavedeniy-Prikla,SARATOV STATE UNIV,0.3,Q4
0869-6918,RUSSIAN JOURNAL OF NEMATOLOGY,"RUSSIAN ACAD SCI, INS",0.3,Q4
0869-8538,Chemistry for Sustainable Development,PUBLISHING HOUSE RU,0.4,Q4
0869-8643,Thermophysics and Aeromechanics,PLEIADES PUBLISHING I,0.6,Q4
0870-0133,Euphrosyne-Revista de Filologia Classica,BREPOLS PUBL,0.1,
0870-0958,Revista de Historia das Ideias,COIMBRA UNIV PRESS,0.1,Q3
0870-0990,Antropologia Portuguesa,COIMBRA UNIV PRESS,0.2,Q4
0870-2551,Revista Portuguesa de Cardiologia,ELSEVIER ESPANA SLU,1.6,Q3
0870-4112,Biblos-Revista da Faculdade de Letras da Unive,COIMBRA UNIV PRESS,0.1,
0871-1569,Humanitas-Portugal,IMPRENSA UNIV COIM,0.1,
0871-1623,Cadernos de Geografia,"UNIV COIMBRA, FAC LE",0.2,Q4
0871-4657,Psychologica,"UNIV COIMBRA, FAC PS",<0.1,Q4
0872-1904,Portugaliae Electrochimica Acta,SOCIEDADE PORTUGUE,0.6,Q4
0872-2110,Boletim de Estudos Classicos,COIMBRA UNIV PRESS,<0.1,
0872-5632,Boletim do Arquivo da Universidade de Coimbr,"UNIV COIMBRA, ARQUI",0.2,Q2
0874-5102,Veredas-Revista da Associacao Internacional d,ASSOC INT LUSITANIST,<0.1,
0874-5498,Agora-Estudos Classicos em Debate,UNIV AVEIRO,0.1,
0882-0139,IMMUNOLOGICAL INVESTIGATIONS,TAYLOR & FRANCIS INC,2.4,Q3
0882-0538,Seminars in Ophthalmology,TAYLOR & FRANCIS INC,2.3,Q2
0882-0783,Journal of Police and Criminal Psychology,SPRINGER,1.4,Q2
0882-0945,Buddhist-Christian Studies,UNIV HAWAII PRESS,<0.1,
0882-1127,American Journalism,ROUTLEDGE JOURNALS,0.3,Q4
0882-2689,JOURNAL OF PSYCHOPATHOLOGY AND BEHAV,SPRINGER/PLENUM PU,1.7,Q3
0882-2786,INTERNATIONAL JOURNAL OF ORAL & MAXILL,QUINTESSENCE PUBLIS,1.7,Q3
0882-4010,MICROBIAL PATHOGENESIS,ACADEMIC PRESS LTD-,3.5,Q2
0882-4096,Communication Research Reports,TAYLOR & FRANCIS LTD,1.6,Q2
0882-4371,CULTURAL CRITIQUE,UNIV MINNESOTA PRE,0.3,Q3
0882-5734,FLAVOUR AND FRAGRANCE JOURNAL,WILEY,2,Q3
0882-5963,Journal of Pediatric Nursing-Nursing Care of Ch,ELSEVIER SCIENCE INC,2.3,Q1
0882-6110,Advances in Accounting,ELSEVIER,1.5,Q3
0882-7508,Mineral Processing and Extractive Metallurgy R,TAYLOR & FRANCIS INC,4.6,Q1
0882-7958,ADVANCED MATERIALS & PROCESSES,ASM INT,0.2,Q4
0882-7974,PSYCHOLOGY AND AGING,AMER PSYCHOLOGICAL,3.5,Q1
0882-8245,VIRAL IMMUNOLOGY,"MARY ANN LIEBERT, IN",1.2,Q4
0882-8539,Shofar-An Interdisciplinary Journal of Jewish St,PURDUE UNIV PRESS,0.3,
0883-0185,INTERNATIONAL REVIEWS OF IMMUNOLOGY,TAYLOR & FRANCIS INC,2.9,Q3
0883-0355,International Journal of Educational Research,ELSEVIER SCI LTD,2.5,Q1
0883-0738,JOURNAL OF CHILD NEUROLOGY,SAGE PUBLICATIONS IN,1.6,Q2
0883-1351,PALAIOS,SEPM-SOC SEDIMENTA,1.5,Q2
0883-2919,World Englishes,WILEY,1.3,Q2
0883-2927,APPLIED GEOCHEMISTRY,PERGAMON-ELSEVIER,3.4,Q1
0883-4237,STATISTICAL SCIENCE,INST MATHEMATICAL S,3.4,Q1
0883-5403,JOURNAL OF ARTHROPLASTY,CHURCHILL LIVINGSTO,3.8,Q1
0883-5691,TOPICS IN CLINICAL NUTRITION,LIPPINCOTT WILLIAMS,0.4,Q4
0883-5993,JOURNAL OF THORACIC IMAGING,LIPPINCOTT WILLIAMS,1.9,Q3
0883-6612,ANNALS OF BEHAVIORAL MEDICINE,OXFORD UNIV PRESS IN,3.3,Q1
0883-7066,SYSTEM DYNAMICS REVIEW,WILEY,2.5,Q1
0883-7252,JOURNAL OF APPLIED ECONOMETRICS,WILEY,3.1,Q1
0883-7554,IEEE ELECTRICAL INSULATION MAGAZINE,IEEE-INST ELECTRICAL E,1.3,Q4
0883-7694,MRS BULLETIN,SPRINGER HEIDELBERG,4.9,Q2
0883-8151,JOURNAL OF BROADCASTING & ELECTRONIC M,ROUTLEDGE JOURNALS,2.2,Q2
0883-8534,JOURNAL OF MULTICULTURAL COUNSELING A,WILEY,1,Q4
0883-9026,JOURNAL OF BUSINESS VENTURING,ELSEVIER,8.9,Q1
0883-9115,JOURNAL OF BIOACTIVE AND COMPATIBLE PO,SAGE PUBLICATIONS LT,2.2,Q3
0883-9441,JOURNAL OF CRITICAL CARE,W B SAUNDERS CO-ELS,2.9,Q2
0883-9514,APPLIED ARTIFICIAL INTELLIGENCE,TAYLOR & FRANCIS INC,4.3,Q2
0884-0431,JOURNAL OF BONE AND MINERAL RESEARCH,OXFORD UNIV PRESS,5.9,Q1
0884-1233,Journal of Teaching in Social Work,ROUTLEDGE JOURNALS,0.9,Q3
0884-1241,Journal of Marketing for Higher Education,ROUTLEDGE JOURNALS,2.1,Q1
0884-2043,CLIO-A JOURNAL OF LITERATURE HISTORY AND,INDIANA UNIV-PURDU,0.2,Q2
0884-2175,JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGI,ELSEVIER SCIENCE INC,2,Q2
0884-2914,JOURNAL OF MATERIALS RESEARCH,SPRINGER HEIDELBERG,2.9,Q3
0884-3236,LATE IMPERIAL CHINA,JOHNS HOPKINS UNIV,0.4,Q2
0884-5336,NUTRITION IN CLINICAL PRACTICE,WILEY,2.2,Q3
0884-8173,INTERNATIONAL JOURNAL OF INTELLIGENT SYS,WILEY,3.7,Q2
0884-8734,JOURNAL OF GENERAL INTERNAL MEDICINE,SPRINGER,4.2,Q1
0884-8971,SOCIOLOGICAL FORUM,WILEY,1.5,Q2
0884-9153,Journal of Student Financial Aid,NATL ASSOC STUDENT,1,Q3
0885-0429,Childrens Literature Association Quarterly,JOHNS HOPKINS UNIV,0.2,
0885-0607,International Journal of Intelligence and Count,ROUTLEDGE JOURNALS,0.5,Q4
0885-064X,JOURNAL OF COMPLEXITY,ACADEMIC PRESS INC E,1.8,Q1
0885-0666,JOURNAL OF INTENSIVE CARE MEDICINE,SAGE PUBLICATIONS IN,2.1,Q3
0885-2006,EARLY CHILDHOOD RESEARCH QUARTERLY,ELSEVIER SCIENCE INC,3.1,Q1
0885-2014,COGNITIVE DEVELOPMENT,ELSEVIER SCIENCE INC,1.8,Q3
0885-2308,COMPUTER SPEECH AND LANGUAGE,ACADEMIC PRESS LTD-,3.4,Q2
0885-2545,Journal of Cultural Economics,SPRINGER,2,Q2
0885-3010,IEEE TRANSACTIONS ON ULTRASONICS FERROE,IEEE-INST ELECTRICAL E,3.7,Q1
0885-3134,Journal of Personal Selling & Sales Managemen,ROUTLEDGE JOURNALS,3.5,Q2
0885-3177,PANCREAS,LIPPINCOTT WILLIAMS,1.7,Q3
0885-3185,MOVEMENT DISORDERS,WILEY,7.6,Q1
0885-3282,JOURNAL OF BIOMATERIALS APPLICATIONS,SAGE PUBLICATIONS LT,2.5,Q3
0885-3908,International Trade Journal,TAYLOR & FRANCIS LTD,1.1,Q3
0885-3924,JOURNAL OF PAIN AND SYMPTOM MANAGEM,ELSEVIER SCIENCE INC,3.5,Q1
0885-4122,JOURNAL OF PLANNING LITERATURE,SAGE PUBLICATIONS IN,5.2,Q1
0885-4513,BIOTECHNOLOGY AND APPLIED BIOCHEMISTR,WILEY,2.7,Q3
0885-4726,Journal of Health Care Chaplaincy,ROUTLEDGE JOURNALS,1.8,Q3
0885-5765,PHYSIOLOGICAL AND MOLECULAR PLANT PATH,ACADEMIC PRESS LTD-,3.3,Q2
0885-579X,JOURNAL OF PERSONALITY DISORDERS,GUILFORD PUBLICATIO,2.7,Q2
0885-6087,HYDROLOGICAL PROCESSES,WILEY,2.9,Q2
0885-6125,MACHINE LEARNING,SPRINGER,2.9,Q2
0885-6222,HUMAN PSYCHOPHARMACOLOGY-CLINICAL A,WILEY,1.7,Q3
0885-6230,INTERNATIONAL JOURNAL OF GERIATRIC PSYC,WILEY,2.8,Q1
0885-6257,European Journal of Special Needs Education,ROUTLEDGE JOURNALS,1.6,Q1
0885-7156,POWDER DIFFRACTION,CAMBRIDGE UNIV PRES,0.4,Q4
0885-7474,JOURNAL OF SCIENTIFIC COMPUTING,SPRINGER/PLENUM PU,3.3,Q1
0885-7482,JOURNAL OF FAMILY VIOLENCE,SPRINGER/PLENUM PU,2.2,Q1
0885-8195,JOURNAL OF CANCER EDUCATION,SPRINGER,1.3,Q3
0885-8950,IEEE TRANSACTIONS ON POWER SYSTEMS,IEEE-INST ELECTRICAL E,7.2,Q1
0885-8969,IEEE TRANSACTIONS ON ENERGY CONVERSION,IEEE-INST ELECTRICAL E,5.4,Q1
0885-8977,IEEE TRANSACTIONS ON POWER DELIVERY,IEEE-INST ELECTRICAL E,3.7,Q2
0885-8985,IEEE AEROSPACE AND ELECTRONIC SYSTEMS M,IEEE-INST ELECTRICAL E,3.8,Q1
0885-8993,IEEE TRANSACTIONS ON POWER ELECTRONICS,IEEE-INST ELECTRICAL E,6.5,Q1
0885-9698,Techniques in Orthopaedics,LIPPINCOTT WILLIAMS,0.2,Q4
0885-9701,JOURNAL OF HEAD TRAUMA REHABILITATION,LIPPINCOTT WILLIAMS,3.3,Q1
0886-022X,RENAL FAILURE,TAYLOR & FRANCIS LTD,3,Q1
0886-0440,JOURNAL OF CARDIAC SURGERY,WILEY,1.3,Q3
0886-1099,Affilia-Feminist Inquiry in Social Work,SAGE PUBLICATIONS IN,1.8,Q1
0886-2605,JOURNAL OF INTERPERSONAL VIOLENCE,SAGE PUBLICATIONS IN,2.3,Q1
0886-3350,JOURNAL OF CATARACT AND REFRACTIVE SUR,LIPPINCOTT WILLIAMS,3.2,Q1
0886-571X,Residential Treatment for Children & Youth,ROUTLEDGE JOURNALS,1.2,Q3
0886-6236,GLOBAL BIOGEOCHEMICAL CYCLES,AMER GEOPHYSICAL U,5.5,Q1
0886-6708,Violence and Victims,SPRINGER PUBLISHING,1.1,Q3
0886-7356,CULTURAL ANTHROPOLOGY,SOC CULTURAL ANTHR,1.9,Q1
0886-9383,JOURNAL OF CHEMOMETRICS,WILEY,2.1,Q1
0886-9634,CRANIO-The Journal of Craniomandibular & Sle,TAYLOR & FRANCIS LTD,1.9,Q2
0887-0446,PSYCHOLOGY & HEALTH,TAYLOR & FRANCIS LTD,1.9,Q2
0887-0624,ENERGY & FUELS,AMER CHEMICAL SOC,5.3,Q1
0887-2171,SEMINARS IN ULTRASOUND CT AND MRI,W B SAUNDERS CO-ELS,1.9,Q3
0887-2333,TOXICOLOGY IN VITRO,PERGAMON-ELSEVIER,2.7,Q3
0887-302X,Clothing and Textiles Research Journal,SAGE PUBLICATIONS IN,1.2,Q2
0887-3585,PROTEINS-STRUCTURE FUNCTION AND BIOINF,WILEY,2.8,Q2
0887-3631,Journal of Cultural Geography,ROUTLEDGE JOURNALS,0.9,Q3
0887-378X,MILBANK QUARTERLY,WILEY,4.1,Q1
0887-3801,JOURNAL OF COMPUTING IN CIVIL ENGINEERI,ASCE-AMER SOC CIVIL,5.2,Q1
0887-381X,JOURNAL OF COLD REGIONS ENGINEERING,ASCE-AMER SOC CIVIL,2.3,Q2
0887-3828,JOURNAL OF PERFORMANCE OF CONSTRUCTE,ASCE-AMER SOC CIVIL,2.1,Q2
0887-4417,JOURNAL OF COMPUTER INFORMATION SYSTE,TAYLOR & FRANCIS INC,4.2,Q2
0887-4476,SYNAPSE-Structure Function Connectivity,WILEY,2,Q4
0887-5367,Hypatia-A Journal of Feminist Philosophy,CAMBRIDGE UNIV PRES,1.6,Q2
0887-6045,Journal of Services Marketing,EMERALD GROUP PUBL,4.5,Q2
0887-6177,ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,OXFORD UNIV PRESS,2.1,Q2
0887-6185,JOURNAL OF ANXIETY DISORDERS,PERGAMON-ELSEVIER,4.5,Q1
0887-6274,Clinical Nurse Specialist,LIPPINCOTT WILLIAMS,0.9,Q4
0887-6703,SPECTROSCOPY,MJH Life Sciences,1.5,Q3
0887-6924,LEUKEMIA,SPRINGERNATURE,13.4,Q1
0887-7963,TRANSFUSION MEDICINE REVIEWS,W B SAUNDERS CO-ELS,2.5,Q2
0887-8013,JOURNAL OF CLINICAL LABORATORY ANALYSIS,WILEY,2.9,Q2
0887-8250,JOURNAL OF SENSORY STUDIES,WILEY,1.6,Q3
0887-8722,JOURNAL OF THERMOPHYSICS AND HEAT TRA,AMER INST AERONAUT,1.7,Q3
0887-8994,PEDIATRIC NEUROLOGY,ELSEVIER SCIENCE INC,2.1,Q2
0887-9311,Holistic Nursing Practice,LIPPINCOTT WILLIAMS,1.6,Q2
0888-0018,PEDIATRIC HEMATOLOGY AND ONCOLOGY,TAYLOR & FRANCIS INC,1.2,Q3
0888-0395,JOURNAL OF NEUROSCIENCE NURSING,LIPPINCOTT WILLIAMS,2,Q2
0888-045X,Bottom Line,EMERALD GROUP PUBL,7.3,Q1
0888-3254,EAST EUROPEAN POLITICS AND SOCIETIES,SAGE PUBLICATIONS IN,1,Q2
0888-3270,MECHANICAL SYSTEMS AND SIGNAL PROCESSI,ACADEMIC PRESS LTD-,8.9,Q1
0888-3769,RELIGION & LITERATURE,UNIV NOTRE DAME,0.1,
0888-4064,Teacher Education and Special Education,SAGE PUBLICATIONS IN,2.6,Q1
0888-4080,APPLIED COGNITIVE PSYCHOLOGY,WILEY,1.8,Q3
0888-4773,JOURNAL OF SPORT MANAGEMENT,HUMAN KINETICS PUBL,3.5,Q1
0888-4781,SPORT PSYCHOLOGIST,HUMAN KINETICS PUBL,1.2,Q3
0888-5885,INDUSTRIAL & ENGINEERING CHEMISTRY RESE,AMER CHEMICAL SOC,3.9,Q2
0888-6091,CONFLUENCIA-REVISTA HISPANICA DE CULTUR,COLORADO STATE UNI,0.2,
0888-613X,INTERNATIONAL JOURNAL OF APPROXIMATE R,ELSEVIER SCIENCE INC,3,Q2
0888-7233,Comparative Economic Studies,PALGRAVE MACMILLAN,1.5,Q2
0888-7462,INTERNATIONAL JOURNAL OF POWDER METAL,AMER POWDER METAL,0.3,Q4
0888-7543,GENOMICS,ACADEMIC PRESS INC E,3,Q2
0888-7985,JOURNAL OF INFORMATION SYSTEMS,AMER ACCOUNTING AS,2,Q2
0888-7993,Accounting Horizons,AMER ACCOUNTING AS,2.2,Q2
0888-8892,CONSERVATION BIOLOGY,WILEY,5.5,Q1
0889-048X,AGRICULTURE AND HUMAN VALUES,SPRINGER,3.6,Q1
0889-1575,JOURNAL OF FOOD COMPOSITION AND ANALY,ACADEMIC PRESS INC E,4.6,Q2
0889-1583,JOURNAL OF THE JAPANESE AND INTERNATION,ACADEMIC PRESS INC E,3.1,Q1
0889-1591,BRAIN BEHAVIOR AND IMMUNITY,ACADEMIC PRESS INC E,7.6,Q1
0889-2229,AIDS RESEARCH AND HUMAN RETROVIRUSES,"MARY ANN LIEBERT, IN",1.1,Q4
0889-3047,Review of Austrian Economics,SPRINGER,0.4,Q4
0889-311X,Crystallography Reviews,TAYLOR & FRANCIS LTD,2.2,Q2
0889-3241,ACI STRUCTURAL JOURNAL,AMER CONCRETE INST,1.5,Q3
0889-325X,ACI MATERIALS JOURNAL,AMER CONCRETE INST,1.6,Q3
0889-3268,JOURNAL OF BUSINESS AND PSYCHOLOGY,SPRINGER,4.9,Q1
0889-3365,NBER Macroeconomics Annual,UNIV CHICAGO PRESS,10.7,Q1
0889-4019,CAREER DEVELOPMENT QUARTERLY,WILEY,2.3,Q2
0889-4655,Journal of Cardiovascular Nursing,LIPPINCOTT WILLIAMS,2.6,Q1
0889-4906,ENGLISH FOR SPECIFIC PURPOSES,PERGAMON-ELSEVIER,2.7,Q1
0889-504X,JOURNAL OF TURBOMACHINERY-TRANSACTIO,ASME,3.1,Q2
0889-7077,Substance Abuse,SAGE PUBLICATIONS IN,2.4,Q2
0889-8391,Journal of Cognitive Psychotherapy,SPRINGER PUBLISHING,1.1,Q3
0889-8480,Mathematical Population Studies,TAYLOR & FRANCIS INC,1.3,Q2
0889-8529,ENDOCRINOLOGY AND METABOLISM CLINICS,W B SAUNDERS CO-ELS,4.2,Q2
0889-8545,OBSTETRICS AND GYNECOLOGY CLINICS OF NO,W B SAUNDERS CO-ELS,2.5,Q2
0889-8553,GASTROENTEROLOGY CLINICS OF NORTH AME,W B SAUNDERS CO-ELS,3.9,Q2
0889-8561,IMMUNOLOGY AND ALLERGY CLINICS OF NOR,W B SAUNDERS CO-ELS,2.2,Q3
0889-857X,RHEUMATIC DISEASE CLINICS OF NORTH AMER,W B SAUNDERS CO-ELS,2.9,Q2
0889-8588,HEMATOLOGY-ONCOLOGY CLINICS OF NORTH,W B SAUNDERS CO-ELS,2.7,Q2
0889-8731,Al-Arabiyya-Journal of the American Associatio,GEORGETOWN UNIV P,0.3,
0889-9746,JOURNAL OF FLUIDS AND STRUCTURES,ACADEMIC PRESS LTD-,3.5,Q1
0890-037X,WEED TECHNOLOGY,CAMBRIDGE UNIV PRES,1.7,Q2
0890-0604,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGIN,CAMBRIDGE UNIV PRES,2.3,Q2
0890-1171,AMERICAN JOURNAL OF HEALTH PROMOTION,SAGE PUBLICATIONS IN,2.4,Q2
0890-1686,MICHIGAN HISTORICAL REVIEW,CENTRAL MICHIGAN U,<0.1,Q4
0890-2070,EUROPEAN JOURNAL OF PERSONALITY,SAGE PUBLICATIONS LT,3.7,Q1
0890-3344,JOURNAL OF HUMAN LACTATION,SAGE PUBLICATIONS IN,1.8,Q2
0890-4065,JOURNAL OF AGING STUDIES,ELSEVIER SCIENCE INC,1.9,Q3
0890-5096,ANNALS OF VASCULAR SURGERY,ELSEVIER SCIENCE INC,1.6,Q2
0890-5339,JOURNAL OF ORTHOPAEDIC TRAUMA,LIPPINCOTT WILLIAMS,1.8,Q2
0890-5401,INFORMATION AND COMPUTATION,ACADEMIC PRESS INC E,1,Q3
